order_id,date,product_name,quantity
180-11-0541,2022-03-30,"Apple - Delicious, Golden",67
146-85-9195,2022-04-09,"Wine - White, Schroder And Schyl",69
544-02-3061,2022-03-29,Eggplant Italian,97
538-63-6447,2022-04-25,"Wine - Harrow Estates, Vidal",99
336-29-0976,2022-06-15,"Thyme - Lemon, Fresh",78
293-14-5062,2022-05-12,Beef Ground Medium,63
758-09-1655,2022-06-01,Wine - Rosso Del Veronese Igt,82
246-23-3390,2022-03-22,Chicken Breast Halal,87
644-36-2279,2022-06-28,Kellogs All Bran Bars,54
247-68-9333,2022-05-20,"Carrots - Purple, Organic",51
339-76-1106,2022-03-22,Sorrel - Fresh,67
479-63-9949,2022-05-23,"Chestnuts - Whole,canned",72
407-52-8033,2022-06-16,Wine - Fume Blanc Fetzer,67
153-82-5012,2022-06-05,Wine - Coteaux Du Tricastin Ac,72
522-59-9921,2022-04-04,"Pork - Back, Short Cut, Boneless",88
610-04-7995,2022-04-17,Buffalo - Striploin,80
608-70-6652,2022-05-22,Shiro Miso,73
343-87-0073,2022-06-03,Vinegar - Champagne,79
689-79-8179,2022-05-03,"Loaf Pan - 2 Lb, Foil",52
830-16-8008,2022-06-06,Longos - Lasagna Beef,66
127-59-8909,2022-05-25,"Nut - Pecan, Halves",58
717-96-2034,2022-06-09,Lettuce - Iceberg,59
874-84-1326,2022-06-06,Lettuce - Baby Salad Greens,53
562-78-1964,2022-06-17,"Tomatoes - Plum, Canned",52
851-39-0108,2022-04-20,Skirt - 29 Foot,84
742-91-8198,2022-04-10,Salmon - Sockeye Raw,73
645-17-0921,2022-06-18,"Sauce - Soya, Light",61
389-74-9918,2022-06-19,Wine - Cabernet Sauvignon,73
154-20-7699,2022-03-12,Ecolab - Hand Soap Form Antibac,61
159-08-5584,2022-03-01,Bamboo Shoots - Sliced,59
215-94-1071,2022-05-13,Lobster - Cooked,74
805-61-9059,2022-05-29,Wine - Crozes Hermitage E.,89
617-82-0694,2022-05-17,Bagelers,52
882-65-5329,2022-06-01,Hummus - Spread,66
638-54-2746,2022-04-02,Containter - 3oz Microwave Rect.,51
716-21-5640,2022-03-26,Container - Clear 16 Oz,65
273-02-4981,2022-06-26,Madeira,73
415-56-7196,2022-03-31,Rice - Sushi,90
616-90-8881,2022-04-16,Veal Inside - Provimi,86
232-22-6992,2022-05-05,"Bread - Dark Rye, Loaf",71
129-79-0434,2022-04-21,Daikon Radish,61
729-80-7796,2022-03-27,Cake - Sheet Strawberry,91
232-30-1483,2022-03-12,Initation Crab Meat,75
865-98-0710,2022-04-10,Corn Syrup,59
324-31-2633,2022-05-25,Soup - Campbellschix Stew,99
605-09-5596,2022-06-08,Bagel - Everything Presliced,54
264-83-6090,2022-04-09,Pastry - Apple Large,52
357-50-6604,2022-06-01,Papadam,84
117-40-3307,2022-05-04,Pork - Caul Fat,68
160-22-5376,2022-03-11,Marjoram - Fresh,65
601-63-5142,2022-06-17,Snapple - Mango Maddness,100
752-64-1072,2022-04-09,Towel - Roll White,66
380-89-1099,2022-06-12,Tamarillo,88
533-03-3450,2022-05-29,"Lettuce - Romaine, Heart",80
315-30-5348,2022-05-16,Red Pepper Paste,84
524-98-0993,2022-06-22,Oats Large Flake,52
208-47-6020,2022-05-03,Island Oasis - Peach Daiquiri,92
258-73-4976,2022-05-23,Sauce - Cranberry,81
509-39-0545,2022-03-21,Cup - 8oz Coffee Perforated,93
493-29-4091,2022-06-02,Cakes Assorted,64
850-65-4623,2022-05-09,Soup - Chicken And Wild Rice,87
124-27-8683,2022-05-05,Eggplant Italian,53
661-07-6445,2022-05-19,Ketchup - Tomato,85
667-83-2491,2022-06-02,Lemon Tarts,85
544-55-3597,2022-06-02,Snails - Large Canned,51
129-56-9423,2022-04-15,Tomato - Plum With Basil,81
712-94-3659,2022-06-26,"Liqueur Banana, Ramazzotti",65
188-65-1641,2022-05-20,Cake - Lemon Chiffon,88
713-50-4824,2022-06-13,Cafe Royale,78
514-35-4892,2022-06-10,Yams,56
681-55-4502,2022-06-22,Wine - Casablanca Valley,71
124-44-2929,2022-03-25,"Vinegar - Balsamic, White",93
745-41-6682,2022-06-15,Cheese - Gouda,99
516-58-6853,2022-06-12,Vaccum Bag - 14x20,52
428-13-9969,2022-04-07,"Crab - Claws, 26 - 30",86
145-52-8495,2022-04-14,"Liqueur Banana, Ramazzotti",54
437-28-2044,2022-03-17,Sterno - Chafing Dish Fuel,71
203-48-7401,2022-05-17,Chicken - Livers,56
129-78-3392,2022-04-11,"Iced Tea - Lemon, 460 Ml",64
373-05-6309,2022-04-20,Appetizer - Southwestern,83
456-20-4513,2022-05-02,Mace Ground,57
206-73-4495,2022-03-12,Longos - Grilled Salmon With Bbq,71
470-25-9043,2022-04-22,Table Cloth 144x90 White,57
174-14-9070,2022-06-21,Berry Brulee,91
620-79-6875,2022-03-15,Mushroom - Lg - Cello,74
855-04-8696,2022-05-24,Nectarines,71
387-80-5696,2022-03-20,Mousse - Mango,72
619-69-6281,2022-05-05,Pork - Ground,81
484-19-6698,2022-06-16,Pickles - Gherkins,94
301-25-4595,2022-05-30,Foam Tray S2,57
811-99-5026,2022-06-21,Dill Weed - Dry,86
830-24-5501,2022-03-19,Rice - Aborio,74
569-76-5286,2022-06-23,"Mushroom - Enoki, Dry",100
856-63-2003,2022-03-07,Hagen Daza - Dk Choocolate,63
878-63-9626,2022-05-27,Wine - Chardonnay Mondavi,74
183-62-8275,2022-06-28,Butter - Pod,73
514-95-9395,2022-03-12,Mushroom - Portebello,72
470-46-4774,2022-03-27,Cake - Mini Cheesecake,60
731-53-3246,2022-04-18,Beef - Cow Feet Split,59
607-36-2580,2022-05-09,Spice - Onion Powder Granulated,93
546-85-1476,2022-06-26,Mountain Dew,88
317-56-9103,2022-03-16,Pie Shells 10,99
496-86-7826,2022-05-13,Beer - Steamwhistle,77
740-76-0995,2022-04-03,"Potatoes - Yukon Gold, 80 Ct",75
152-67-5667,2022-05-09,Nantucket - Carrot Orange,83
746-61-3996,2022-06-26,"Wine - Red, Cooking",69
449-63-4671,2022-04-05,Cookie Trail Mix,69
725-15-8149,2022-05-20,"Mop Head - Cotton, 24 Oz",89
818-28-5853,2022-06-09,Calvados - Boulard,62
330-07-6372,2022-05-27,Crackers - Trio,61
311-36-2358,2022-05-15,Red Cod Fillets - 225g,61
376-09-2475,2022-06-01,Bandage - Flexible Neon,73
287-75-6209,2022-06-10,"Wine - Red, Cooking",97
873-04-2799,2022-05-15,Ham - Cooked Bayonne Tinned,54
233-14-1119,2022-03-15,Wine - Touraine Azay - Le - Rideau,67
803-87-0997,2022-04-27,Teriyaki Sauce,76
415-41-6535,2022-05-14,Wine - Lamancha Do Crianza,52
408-59-3855,2022-04-10,"Wine - Red, Gallo, Merlot",89
729-04-6332,2022-04-04,Pectin,88
